Random,Uncertainty,Committee
0.73,0.71,0.72
0.71,0.71,0.72
0.72,0.71,0.72
0.72,0.72,0.72
0.73,0.73,0.73
0.72,0.73,0.72
0.72,0.73,0.73
0.72,0.72,0.73
0.74,0.72,0.71
0.74,0.71,0.71
0.74,0.73,0.71
0.75,0.74,0.72
0.73,0.72,0.73
0.74,0.74,0.73
0.74,0.74,0.74
0.72,0.72,0.74
0.72,0.71,0.75
0.72,0.71,0.73
0.74,0.7,0.73
0.74,0.71,0.74
0.72,0.7,0.74
0.72,0.71,0.74
0.72,0.72,0.74
0.73,0.7,0.74
0.72,0.72,0.74
0.72,0.72,0.75
0.72,0.72,0.73
0.71,0.72,0.73
0.71,0.72,0.73
0.71,0.72,0.73
0.72,0.72,0.72
0.72,0.7,0.72
0.72,0.7,0.72
0.72,0.72,0.72
0.72,0.72,0.73
0.71,0.72,0.73
0.72,0.74,0.72
0.73,0.7,0.74
0.7,0.72,0.72
0.71,0.72,0.71
0.7,0.72,0.71
0.73,0.72,0.72
0.73,0.73,0.71
0.73,0.74,0.71
0.72,0.74,0.72
0.72,0.73,0.72
0.72,0.76,0.72
0.72,0.74,0.72
0.72,0.74,0.72
0.72,0.74,0.74
0.72,0.74,0.74
0.72,0.74,0.74
0.72,0.75,0.74
0.72,0.73,0.74
0.72,0.74,0.74
0.7,0.74,0.74
0.72,0.75,0.74
0.73,0.75,0.74
0.74,0.76,0.74
0.74,0.76,0.74
0.73,0.76,0.74
0.73,0.74,0.74
0.74,0.74,0.75
0.75,0.74,0.74
0.75,0.74,0.74
0.74,0.74,0.77
0.73,0.74,0.74
0.71,0.74,0.74
0.71,0.74,0.74
0.73,0.74,0.74
0.71,0.74,0.74
0.73,0.74,0.74
0.73,0.74,0.75
0.74,0.74,0.75
0.72,0.74,0.75
0.72,0.74,0.75
0.72,0.74,0.75
0.72,0.73,0.75
0.71,0.72,0.75
0.71,0.72,0.74
0.72,0.72,0.74
0.72,0.72,0.75
0.73,0.71,0.75
0.73,0.72,0.76
0.72,0.74,0.76
0.73,0.74,0.76
0.74,0.74,0.76
0.73,0.74,0.76
0.73,0.74,0.76
0.73,0.73,0.75
0.73,0.73,0.76
0.73,0.73,0.76
0.74,0.74,0.76
0.74,0.74,0.76
0.73,0.73,0.76
0.73,0.74,0.76
0.73,0.74,0.76
0.73,0.74,0.77
0.73,0.75,0.75
0.73,0.75,0.75
